Tempo,Preço
Há 60 dias,R$ 489
Há 59 dias,R$ 469
Há 58 dias,R$ 469
Há 57 dias,R$ 573
Há 56 dias,R$ 635
Há 55 dias,R$ 475
Há 54 dias,R$ 475
Há 53 dias,R$ 463
Há 52 dias,R$ 428
Há 51 dias,R$ 420
Há 50 dias,R$ 394
Há 49 dias,R$ 394
Há 48 dias,R$ 394
Há 47 dias,R$ 495
Há 46 dias,R$ 505
Há 45 dias,R$ 394
Há 44 dias,R$ 394
Há 43 dias,R$ 394
Há 42 dias,R$ 480
Há 41 dias,R$ 480
Há 40 dias,R$ 409
Há 39 dias,R$ 409
Há 38 dias,R$ 471
Há 37 dias,R$ 470
Há 36 dias,R$ 470
Há 35 dias,R$ 469
Há 34 dias,R$ 473
Há 33 dias,R$ 441
Há 32 dias,R$ 441
Há 31 dias,R$ 479
Há 30 dias,R$ 478
Há 29 dias,R$ 432
Há 28 dias,R$ 460
Há 27 dias,R$ 295
Há 26 dias,R$ 470
Há 25 dias,R$ 485
Há 24 dias,R$ 441
Há 23 dias,R$ 441
Há 22 dias,R$ 443
Há 21 dias,R$ 471
Há 20 dias,R$ 523
Há 19 dias,R$ 683
Há 18 dias,R$ 605
Há 17 dias,R$ 497
Há 16 dias,R$ 497
Há 15 dias,R$ 499
Há 14 dias,R$ 502
Há 13 dias,R$ 502
Há 12 dias,R$ 619
Há 11 dias,R$ 617
Há 10 dias,R$ 519
Há 9 dias,R$ 513
Há 8 dias,R$ 520
Há 7 dias,R$ 1.409
Há 6 dias,R$ 764
Há 5 dias,R$ 764
Há 4 dias,R$ 1.788
Há 3 dias,R$ 1.589
Há 2 dias,R$ 1.589
Há 1 dia,R$ 1.996
Hoje,R$ 3.927
